"","SHIP_ID","SHIPNAME","ship_type","points","first_date","last_date","LAT","LON","DATETIME","dest_lat","dest_lon","distance_meters"
"118",157040,"NAUTILUS","Tanker",1114,"2016-12-19T05:49:05Z","2016-12-20T04:13:05Z",57.6547,11.73835,"2016-12-20T03:53:12Z",57.65019,11.71205,1644.96473449794
"119",157057,"NEPTUNUS","Tanker",1464,"2016-12-13T11:21:01Z","2016-12-19T14:25:05Z",54.79743,18.89334,"2016-12-13T20:35:02Z",57.60192,11.63235,546950.420984384
"120",157062,"NIMBUS","Tanker",667,"2016-12-18T23:25:05Z","2016-12-20T00:59:05Z",57.60022,11.64145,"2016-12-18T23:31:05Z",57.60243,11.66862,1639.14338070304
"121",157070,"FREESIA SEAWAYS","Cargo",1420,"2016-12-13T11:31:05Z","2016-12-20T11:11:05Z",57.62766,11.68233,"2016-12-16T21:41:08Z",57.64865,11.70891,2822.77111731458
"122",157073,"BEGONIA SEAWAYS","Cargo",1300,"2016-12-14T16:15:06Z","2016-12-18T23:59:05Z",57.65199,11.72603,"2016-12-18T13:15:05Z",57.65701,11.75727,1942.71678639265
"123",157110,"MAGNOLIA SEAWAYS","Cargo",1445,"2016-12-13T11:31:05Z","2016-12-20T11:11:05Z",57.61156,11.66525,"2016-12-16T06:03:05Z",57.62883,11.68972,2413.29295254316
"124",158315,"R 355 TRINE LOUISE","Fishing",3236,"2016-12-15T04:17:07Z","2016-12-20T10:59:07Z",54.79691,18.41784,"2016-12-15T18:31:11Z",54.79491,18.41795,222.750866622424
"125",158394,"HANNE THERESA","Tanker",5,"2016-12-15T04:55:05Z","2016-12-15T05:03:05Z",57.60177,11.64016,"2016-12-15T05:01:05Z",57.60037,11.65048,634.971509071113
"126",158493,"STJARNVIK","Fishing",69,"2016-12-13T20:01:06Z","2016-12-13T22:17:05Z",57.65093,11.68491,"2016-12-13T21:59:05Z",57.63983,11.68664,1239.93697656605
"127",158628,"PETUNIA SEAWAYS","Cargo",1026,"2016-12-14T10:09:05Z","2016-12-17T17:09:05Z",57.65259,11.72198,"2016-12-17T16:53:05Z",57.64103,11.69722,1957.43782210047
"128",158740,"PRIMULA SEAWAYS","Cargo",1558,"2016-12-15T18:03:06Z","2016-12-19T23:09:04Z",57.63254,11.69205,"2016-12-15T18:15:07Z",57.65028,11.71538,2414.94735894293
"129",158750,"R 222 BORNOE","Fishing",16,"2016-12-14T16:11:09Z","2016-12-15T00:07:07Z",54.79729,18.41826,"2016-12-14T23:59:07Z",54.79617,18.42855,672.01068917785
"130",159287,"FICARIA SEAWAYS","Cargo",3228,"2016-12-15T05:53:07Z","2016-12-20T11:11:05Z",57.65739,11.75459,"2016-12-15T17:01:06Z",57.65243,11.72356,1928.79886478893
"131",159418,"BIRTHE BRES","Cargo",1551,"2016-12-14T19:09:05Z","2016-12-18T11:07:05Z",57.66332,11.77958,"2016-12-14T19:55:05Z",57.67889,11.81503,2730.90748320524
"132",159543,"SELANDIA SWAN","Tanker",762,"2016-12-16T01:13:03Z","2016-12-17T11:43:02Z",54.63252,19.90066,"2016-12-16T01:47:03Z",54.63334,19.92978,1878.51166096737
"133",159701,"AALBORG","Tanker",1978,"2016-12-13T11:31:05Z","2016-12-20T08:21:04Z",57.60052,11.6314,"2016-12-14T13:45:06Z",57.6015,11.69333,3695.50638618019
"134",159706,"COPENHAGEN","Tanker",40,"2016-12-15T19:13:05Z","2016-12-17T00:13:06Z",57.92383,11.62883,"2016-12-15T19:19:05Z",57.92619,11.6538,1499.26971210664
"135",181427,"MISANA","Cargo",956,"2016-12-19T01:43:04Z","2016-12-19T17:59:04Z",59.91617,30.02817,"2016-12-19T01:45:04Z",59.912,30.04833,1217.02062076226
"136",181730,"HVITANES","Cargo",446,"2016-12-13T11:31:04Z","2016-12-13T18:55:04Z",59.91454,30.03516,"2016-12-13T18:49:05Z",59.91746,30.02093,858.004960683865
"137",181746,"VINGA SAFIR","Tanker",3225,"2016-12-13T11:31:05Z","2016-12-20T11:11:05Z",57.60564,11.60405,"2016-12-13T16:43:06Z",57.60131,11.66084,3421.20971365283
"138",181857,"KAPITAN GERASHCHENKO","Fishing",3382,"2016-12-13T11:31:08Z","2016-12-18T11:43:02Z",54.53149,18.68513,"2016-12-18T09:53:07Z",54.53154,18.70719,1424.94786640224
"139",182321,"NORTHERN OCEAN","Tanker",2441,"2016-12-17T20:45:05Z","2016-12-20T11:11:05Z",57.61015,11.60678,"2016-12-17T20:47:04Z",57.61041,11.62854,1297.89551427155
"140",182333,"TRADER BULK","Cargo",151,"2016-12-19T03:03:05Z","2016-12-19T18:29:06Z",57.60003,11.65679,"2016-12-19T03:19:05Z",57.60091,11.68952,1954.70889975683
